"ID_LouwNida","Dominio_Principal","Exemplo_Grego","Glossario_EN","Glossario_PT_BR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.38","Objetos e Características Geográficas","ἶρις","rainbow or halo","arco-íris ou halo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.39","Objetos e Características Geográficas","κόσμος","earth, world","terra, mundo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4","Objetos e Características Geográficas","κοσμικός","earthly, on earth","terrestre, na terra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.41","Objetos e Características Geográficas","ἐπίγειος","on the earth, in the world","na terra, no mundo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.42","Objetos e Características Geográficas","χοϊκός","of earth, earthly, made of earth","de terra, terrestre, feito de terra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.43","Objetos e Características Geográficas","ὑπό","on earth","na terra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.44","Objetos e Características Geográficas","ἔδαφος","ground","chão","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.45","Objetos e Características Geográficas","χαμαί","on the ground, to the ground","no chão, ao chão","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.46","Objetos e Características Geográficas","ὄρος","mountain","montanha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.47","Objetos e Características Geográficas","ὀρεινός","mountainous region, hill country","região montanhosa, serra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.48","Objetos e Características Geográficas","βουνός","hill, mound","colina, monte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.49","Objetos e Características Geográficas","ὀφρῦς","cliff, brow of a hill","penhasco, borda de uma colina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5","Objetos e Características Geográficas","κρημνός","steep slope","ladeira íngreme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.51","Objetos e Características Geográficas","φάραγξ","ravine, narrow steep-sided valley","ravina, vale estreito de encostas íngremes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.52","Objetos e Características Geográficas","χείμαρρος","ravine, wadi","ravina, wadi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.53","Objetos e Características Geográficas","ὀπή","hole, opening","buraco, abertura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.54","Objetos e Características Geográficas","χάσμα","chasm","abismo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.55","Objetos e Características Geográficas","βόθυνος","pit, ditch, hole","fossado, vala, buraco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.56","Objetos e Características Geográficas","φωλεός","hole, den, lair","buraco, toca, covil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.57","Objetos e Características Geográficas","σπήλαιον","cave, den, hideout","gruta, toca, esconderijo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.58","Objetos e Características Geográficas","φρέαρ","deep pit","poço profundo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.59","Objetos e Características Geográficas","σιρός","[Glosses - en]","[Glossas - en]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6","Objetos e Características Geográficas","γῆ","land","terra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.61","Objetos e Características Geográficas","παράλιος","coastal region","região costeira","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.62","Objetos e Características Geográficas","χεῖλος","shore","costa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.63","Objetos e Características Geográficas","αἰγιαλός","beach, shore","praia, costa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.64","Objetos e Características Geográficas","ἄμμος","beach","praia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.65","Objetos e Características Geográficas","ἀνωτερικός","inland, upland, interior","interior, altiplano, interior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.66","Objetos e Características Geográficas","νῆσος","island","ilha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.67","Objetos e Características Geográficas","νησίον","a small island","uma pequena ilha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.68","Objetos e Características Geográficas","τόπος","sandbar, reef","banco de areia, recife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.69","Objetos e Características Geográficas","θάλασσα","the sea","mar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.7","Objetos e Características Geográficas","θάλασσα","sea, lake","mar, lago","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.71","Objetos e Características Geográficas","παραθαλάσσιος","by the seaside, by the lake","à beira-mar, à beira do lago","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.72","Objetos e Características Geográficas","λίμνη","lake, pool","lago, poça","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.73","Objetos e Características Geográficas","πέλαγος","open sea, high sea, the deep, ocean","mar aberto, mar alto, o profundo, oceano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.74","Objetos e Características Geográficas","κόλπος","bay, gulf","baía, golfo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.75","Objetos e Características Geográficas","λιμήν","harbor","porto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.76","Objetos e Características Geográficas","ποταμός","river, stream","rio, riacho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.77","Objetos e Características Geográficas","χείμαρρος","brook, winter stream, rainy-season stream","riacho, curso d’água de inverno, curso d’água da estação chuvosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.78","Objetos e Características Geográficas","πηγή","spring","nascente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.79","Objetos e Características Geográficas","γῆ","region, territory, land (and even district, though this might imply too precisely a governmental area)","região, território, terra (e até distrito, embora isso possa implicar uma área governamental com mais precisão)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.8","Objetos e Características Geográficas","περίχωρος","surrounding region","região circundante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.81","Objetos e Características Geográficas","πατρίς","homeland, hometown","pátria, cidade natal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.82","Objetos e Características Geográficas","βασιλεία","kingdom","reino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.83","Objetos e Características Geográficas","οἰκουμένη","empire, people of the empire","império, povo do império","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.84","Objetos e Características Geográficas","ἐπαρχεία","province, region","província, região","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.85","Objetos e Características Geográficas","μερίς","district","distrito","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.86","Objetos e Características Geográficas","ἔρημος","desert, wilderness, lonely place","deserto, ermo, lugar solitário","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.87","Objetos e Características Geográficas","ἀγρός","countryside, fields, rural area","campo, campos, zona rural","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.88","Objetos e Características Geográficas","πόλις","city, town","cidade, vila","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.89","Objetos e Características Geográficas","πόλις","city","cidade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9","Objetos e Características Geográficas","κολωνία","colony","colônia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.91","Objetos e Características Geográficas","κωμόπολις","town, market town","vila, cidade mercantil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.92","Objetos e Características Geográficas","κώμη","village","aldeia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.93","Objetos e Características Geográficas","ἀγρός","farm settlement, hamlet","assentamento agrícola, povoado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.94","Objetos e Características Geográficas","παρεμβολή","camp","acampamento","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.95","Objetos e Características Geográficas","ἀγρός","field, land","campo, terra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.96","Objetos e Características Geográficas","γεώργιον","field","campo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.97","Objetos e Características Geográficas","κῆπος","garden, orchard","jardim, pomar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.98","Objetos e Características Geográficas","νομή","pasture","pastagem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.99","Objetos e Características Geográficas","ὁδός","road, highway, street, way","estrada, rodovia, rua, caminho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1","Objetos e Características Geográficas","τρίβος","path, beaten path","trilha, caminho batido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.101","Objetos e Características Geográficas","ἄμφοδον","city street","rua da cidade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.102","Objetos e Características Geográficas","διέξοδος","where a main street leaves the city (possibly at the city wall). πορεύεσ θε οὖν ἐπὶ τὰς διεξόδους τῶν ὁδῶν go then to where the main streets leave the city","onde uma rua principal sai da cidade (possivelmente na muralha da cidade). πορεύεσ θε οὖν ἐπὶ τὰς διεξόδους τῶν ὁδῶν vá então para onde as ruas principais deixam a cidade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.103","Objetos e Características Geográficas","πλατύς","avenue, wide street","avenida, rua larga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.104","Objetos e Características Geográficas","ῥύμη","narrow street, lane, alley","rua estreita, viela, beco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.105","Objetos e Características Geográficas","φραγμός","byway, path","caminho secundário, trilha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.1","Substâncias Naturais","στοιχεῖον","elements, natural substances","elementos, substâncias naturais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.2","Substâncias Naturais","ἀήρ","air","ar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.3","Substâncias Naturais","πῦρ","fire","fogo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4","Substâncias Naturais","φλόξ","flame","chama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5","Substâncias Naturais","πῦρ","fire, bonfire","fogo, fogueira","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6","Substâncias Naturais","ἀνθρακιά","charcoal fire","carvão em brasa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.7","Substâncias Naturais","ὕδωρ","water","água","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8","Substâncias Naturais","ἄνυδρος","waterless, dry","sem água, seco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9","Substâncias Naturais","ἰκμάς","moisture","umidade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.1","Substâncias Naturais","ὑετός","rain, rain water","chuva, água da chuva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.11","Substâncias Naturais","κρύσταλλος","ice","gelo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.12","Substâncias Naturais","χιών","snow","neve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.13","Substâncias Naturais","χάλαζα","hail","granizo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.14","Substâncias Naturais","γῆ","soil, ground","solo, terra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.15","Substâncias Naturais","κονιορτός","dust, soil","pó, terra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.16","Substâncias Naturais","χοϊκός","made of dust, made of soil","feito de pó, feito de terra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.17","Substâncias Naturais","βόρβορος","mud, mire","lama, lodo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.18","Substâncias Naturais","πηλός","mud, clay","lama, barro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.19","Substâncias Naturais","κεραμικός","made of clay, clay","feito de barro, argila","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.2","Substâncias Naturais","ὀστράκινος","earthenware, clay","vasilha de barro, argila","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.21","Substâncias Naturais","πέτρα","rock, bedrock","rocha, leito rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.22","Substâncias Naturais","πετρώδης","rocky ground","terreno rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.23","Substâncias Naturais","λίθος","stone","pedra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.24","Substâncias Naturais","λίθος","stone","pedra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.25","Substâncias Naturais","λίθινος","stone, made out of stone","pedra, feita de pedra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.26","Substâncias Naturais","θεῖον","sulfur, brimstone","enxofre, fogo-ácido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.27","Substâncias Naturais","ψῆφος","pebble, small stone","pedrinha, pequena pedra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.28","Substâncias Naturais","ἄμμος","sand","areia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.29","Substâncias Naturais","λίθος","precious stone, gem","pedra preciosa, gema","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.3","Substâncias Naturais","ἴασπις","jasper","jaspe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.31","Substâncias Naturais","σάπφιρος","sapphire","safira","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.32","Substâncias Naturais","χαλκηδών","agate, chalcedony","ágata, calcedônia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.33","Substâncias Naturais","σμάραγδος","emerald","esmeralda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.34","Substâncias Naturais","σμαράγδινος","emerald-like, of emerald","semelhante à esmeralda, de esmeralda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.35","Substâncias Naturais","σαρδόνυξ","onyx, sardonyx","ônix, sardônio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.36","Substâncias Naturais","σάρδιον","carnelian","cornalina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.37","Substâncias Naturais","χρυσόλιθος","chrysolite","crisólito","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.38","Substâncias Naturais","βήρυλλος","beryl","berilo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.39","Substâncias Naturais","τοπάζιον","topaz","topázio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4","Substâncias Naturais","χρυσόπρασος","chrysoprase","crisoprase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.41","Substâncias Naturais","ὑάκινθος","jacinth, hyacinth","jacinto, jacinto (hipérico)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.42","Substâncias Naturais","ἀμέθυστος","amethyst","ametista","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.43","Substâncias Naturais","μαργαρίτης","pearl","pérola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.44","Substâncias Naturais","ἐλεφάντινος","consisting of ivory, made of ivory","consistindo de marfim, feito de marfim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.45","Substâncias Naturais","μάρμαρος","marble","mármore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.46","Substâncias Naturais","κρύσταλλος","crystal","cristal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.47","Substâncias Naturais","κρυσταλλίζω","to shine like crystal, to shine brightly","brilhar como cristal, brilhar intensamente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.48","Substâncias Naturais","διοπετής","stone from heaven, stone fallen from the sky","pedra do céu, pedra caída do céu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.49","Substâncias Naturais","χρυσός","gold","ouro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5","Substâncias Naturais","χρυσοῦς","golden, made of gold","dourado, feito de ouro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.51","Substâncias Naturais","ἄργυρος","silver","prata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.52","Substâncias Naturais","ἀργυροκόπος","silversmith"," ourives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.53","Substâncias Naturais","ἀργυροῦς","of silver, made of silver","de prata, feito de prata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.54","Substâncias Naturais","χαλκός","bronze, brass, copper","bronze, latão, cobre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
